participant_id,dark_period_ts,lights_on_ts,trial,condition,melanopic_edi,photopic_lux
303,2025-02-11T17:54:04Z,2025-02-11T18:04:24Z,1,5,8408,9822
303,2025-02-11T17:54:04Z,2025-02-11T18:05:41Z,2,1,392,486
303,2025-02-11T17:54:04Z,2025-02-11T18:06:54Z,3,5,8408,9822
303,2025-02-11T17:54:04Z,2025-02-11T18:08:05Z,4,2,912,1074
303,2025-02-11T17:54:04Z,2025-02-11T18:09:18Z,5,4,3906,4532
303,2025-02-11T17:54:04Z,2025-02-11T18:10:29Z,6,2,912,1074
303,2025-02-11T17:54:04Z,2025-02-11T18:11:41Z,7,1,392,486
303,2025-02-11T17:54:04Z,2025-02-11T18:12:53Z,8,1,392,486
303,2025-02-11T17:54:04Z,2025-02-11T18:14:06Z,9,3,1967,2420
303,2025-02-11T17:54:04Z,2025-02-11T18:15:19Z,10,5,8408,9822
303,2025-02-11T17:54:04Z,2025-02-11T18:16:31Z,11,0,0,0
303,2025-02-11T17:54:04Z,2025-02-11T18:17:44Z,12,0,0,0
303,2025-02-11T17:54:04Z,2025-02-11T18:18:57Z,13,5,8408,9822
303,2025-02-11T17:54:04Z,2025-02-11T18:20:11Z,14,3,1967,2420
303,2025-02-11T17:54:04Z,2025-02-11T18:21:22Z,15,0,0,0
303,2025-02-11T17:54:04Z,2025-02-11T18:22:36Z,16,2,912,1074
303,2025-02-11T17:54:04Z,2025-02-11T18:23:47Z,17,3,1967,2420
303,2025-02-11T17:54:04Z,2025-02-11T18:25:00Z,18,1,392,486
303,2025-02-11T17:54:04Z,2025-02-11T18:26:13Z,19,0,0,0
303,2025-02-11T17:54:04Z,2025-02-11T18:27:26Z,20,3,1967,2420
303,2025-02-11T17:54:04Z,2025-02-11T18:28:39Z,21,2,912,1074
303,2025-02-11T17:54:04Z,2025-02-11T18:29:51Z,22,0,0,0
303,2025-02-11T17:54:04Z,2025-02-11T18:31:04Z,23,1,392,486
303,2025-02-11T17:54:04Z,2025-02-11T18:32:15Z,24,4,3906,4532
303,2025-02-11T17:54:04Z,2025-02-11T18:33:27Z,25,3,1967,2420
303,2025-02-11T17:54:04Z,2025-02-11T18:34:38Z,26,3,1967,2420
303,2025-02-11T17:54:04Z,2025-02-11T18:35:52Z,27,4,3906,4532
303,2025-02-11T17:54:04Z,2025-02-11T18:37:05Z,28,1,392,486
303,2025-02-11T17:54:04Z,2025-02-11T18:38:17Z,29,2,912,1074
303,2025-02-11T17:54:04Z,2025-02-11T18:39:31Z,30,2,912,1074
303,2025-02-11T17:54:04Z,2025-02-11T18:40:44Z,31,5,8408,9822
303,2025-02-11T17:54:04Z,2025-02-11T18:41:56Z,32,5,8408,9822
303,2025-02-11T17:54:04Z,2025-02-11T18:43:10Z,33,4,3906,4532
303,2025-02-11T17:54:04Z,2025-02-11T18:44:21Z,34,4,3906,4532
303,2025-02-11T17:54:04Z,2025-02-11T18:45:34Z,35,0,0,0
303,2025-02-11T17:54:04Z,2025-02-11T18:46:46Z,36,4,3906,4532
305,2025-02-26T15:25:46Z,2025-02-26T15:36:05Z,1,5,8408,9822
305,2025-02-26T15:25:46Z,2025-02-26T15:37:17Z,2,2,912,1074
305,2025-02-26T15:25:46Z,2025-02-26T15:38:29Z,3,4,3906,4532
305,2025-02-26T15:25:46Z,2025-02-26T15:39:42Z,4,1,392,486
305,2025-02-26T15:25:46Z,2025-02-26T15:40:54Z,5,1,392,486
305,2025-02-26T15:25:46Z,2025-02-26T15:42:05Z,6,5,8408,9822
305,2025-02-26T15:25:46Z,2025-02-26T15:43:19Z,7,4,3906,4532
305,2025-02-26T15:25:46Z,2025-02-26T15:44:32Z,8,3,1967,2420
305,2025-02-26T15:25:46Z,2025-02-26T15:45:44Z,9,0,0,0
305,2025-02-26T15:25:46Z,2025-02-26T15:46:57Z,10,4,3906,4532
305,2025-02-26T15:25:46Z,2025-02-26T15:48:09Z,11,0,0,0
305,2025-02-26T15:25:46Z,2025-02-26T15:49:23Z,12,3,1967,2420
305,2025-02-26T15:25:46Z,2025-02-26T15:50:34Z,13,5,8408,9822
305,2025-02-26T15:25:46Z,2025-02-26T15:51:46Z,14,0,0,0
305,2025-02-26T15:25:46Z,2025-02-26T15:52:59Z,15,5,8408,9822
305,2025-02-26T15:25:46Z,2025-02-26T15:54:11Z,16,1,392,486
305,2025-02-26T15:25:46Z,2025-02-26T15:55:24Z,17,2,912,1074
305,2025-02-26T15:25:46Z,2025-02-26T15:56:36Z,18,5,8408,9822
305,2025-02-26T15:25:46Z,2025-02-26T15:57:47Z,19,5,8408,9822
305,2025-02-26T15:25:46Z,2025-02-26T15:59:00Z,20,3,1967,2420
305,2025-02-26T15:25:46Z,2025-02-26T16:00:12Z,21,1,392,486
305,2025-02-26T15:25:46Z,2025-02-26T16:01:24Z,22,4,3906,4532
305,2025-02-26T15:25:46Z,2025-02-26T16:02:38Z,23,2,912,1074
305,2025-02-26T15:25:46Z,2025-02-26T16:03:50Z,24,2,912,1074
305,2025-02-26T15:25:46Z,2025-02-26T16:05:02Z,25,0,0,0
305,2025-02-26T15:25:46Z,2025-02-26T16:06:15Z,26,0,0,0
305,2025-02-26T15:25:46Z,2025-02-26T16:07:27Z,27,2,912,1074
305,2025-02-26T15:25:46Z,2025-02-26T16:08:38Z,28,3,1967,2420
305,2025-02-26T15:25:46Z,2025-02-26T16:09:50Z,29,2,912,1074
305,2025-02-26T15:25:46Z,2025-02-26T16:11:03Z,30,1,392,486
305,2025-02-26T15:25:46Z,2025-02-26T16:12:16Z,31,0,0,0
305,2025-02-26T15:25:46Z,2025-02-26T16:13:29Z,32,1,392,486
305,2025-02-26T15:25:46Z,2025-02-26T16:14:40Z,33,3,1967,2420
305,2025-02-26T15:25:46Z,2025-02-26T16:15:53Z,34,3,1967,2420
305,2025-02-26T15:25:46Z,2025-02-26T16:17:07Z,35,4,3906,4532
305,2025-02-26T15:25:46Z,2025-02-26T16:18:19Z,36,4,3906,4532
306,2025-02-28T09:12:09Z,2025-02-28T09:22:26Z,1,5,8408,9822
306,2025-02-28T09:12:09Z,2025-02-28T09:23:39Z,2,5,8408,9822
306,2025-02-28T09:12:09Z,2025-02-28T09:24:50Z,3,0,0,0
306,2025-02-28T09:12:09Z,2025-02-28T09:26:03Z,4,0,0,0
306,2025-02-28T09:12:09Z,2025-02-28T09:27:15Z,5,5,8408,9822
306,2025-02-28T09:12:09Z,2025-02-28T09:28:28Z,6,4,3906,4532
306,2025-02-28T09:12:09Z,2025-02-28T09:29:40Z,7,3,1967,2420
306,2025-02-28T09:12:09Z,2025-02-28T09:30:53Z,8,2,912,1074
306,2025-02-28T09:12:09Z,2025-02-28T09:32:05Z,9,3,1967,2420
306,2025-02-28T09:12:09Z,2025-02-28T09:33:18Z,10,5,8408,9822
306,2025-02-28T09:12:09Z,2025-02-28T09:34:29Z,11,1,392,486
306,2025-02-28T09:12:09Z,2025-02-28T09:35:42Z,12,3,1967,2420
306,2025-02-28T09:12:09Z,2025-02-28T09:36:56Z,13,3,1967,2420
306,2025-02-28T09:12:09Z,2025-02-28T09:38:09Z,14,1,392,486
306,2025-02-28T09:12:09Z,2025-02-28T09:39:22Z,15,4,3906,4532
306,2025-02-28T09:12:09Z,2025-02-28T09:40:35Z,16,1,392,486
306,2025-02-28T09:12:09Z,2025-02-28T09:41:47Z,17,1,392,486
306,2025-02-28T09:12:09Z,2025-02-28T09:42:58Z,18,2,912,1074
306,2025-02-28T09:12:09Z,2025-02-28T09:44:12Z,19,5,8408,9822
306,2025-02-28T09:12:09Z,2025-02-28T09:45:23Z,20,2,912,1074
306,2025-02-28T09:12:09Z,2025-02-28T09:46:35Z,21,1,392,486
306,2025-02-28T09:12:09Z,2025-02-28T09:47:48Z,22,5,8408,9822
306,2025-02-28T09:12:09Z,2025-02-28T09:48:59Z,23,3,1967,2420
306,2025-02-28T09:12:09Z,2025-02-28T09:50:11Z,24,0,0,0
306,2025-02-28T09:12:09Z,2025-02-28T09:51:22Z,25,3,1967,2420
306,2025-02-28T09:12:09Z,2025-02-28T09:52:35Z,26,4,3906,4532
306,2025-02-28T09:12:09Z,2025-02-28T09:53:47Z,27,2,912,1074
306,2025-02-28T09:12:09Z,2025-02-28T09:55:00Z,28,0,0,0
306,2025-02-28T09:12:09Z,2025-02-28T09:56:13Z,29,1,392,486
306,2025-02-28T09:12:09Z,2025-02-28T09:57:26Z,30,0,0,0
306,2025-02-28T09:12:09Z,2025-02-28T09:58:38Z,31,4,3906,4532
306,2025-02-28T09:12:09Z,2025-02-28T09:59:51Z,32,4,3906,4532
306,2025-02-28T09:12:09Z,2025-02-28T10:01:04Z,33,0,0,0
306,2025-02-28T09:12:09Z,2025-02-28T10:02:16Z,34,2,912,1074
306,2025-02-28T09:12:09Z,2025-02-28T10:03:29Z,35,2,912,1074
306,2025-02-28T09:12:09Z,2025-02-28T10:04:42Z,36,4,3906,4532
307,2025-02-28T16:34:35Z,2025-02-28T16:44:57Z,1,5,8408,9822
307,2025-02-28T16:34:35Z,2025-02-28T16:46:09Z,2,3,1967,2420
307,2025-02-28T16:34:35Z,2025-02-28T16:47:22Z,3,5,8408,9822
307,2025-02-28T16:34:35Z,2025-02-28T16:48:35Z,4,1,392,486
307,2025-02-28T16:34:35Z,2025-02-28T16:49:48Z,5,4,3906,4532
307,2025-02-28T16:34:35Z,2025-02-28T16:51:01Z,6,4,3906,4532
307,2025-02-28T16:34:35Z,2025-02-28T16:52:14Z,7,0,0,0
307,2025-02-28T16:34:35Z,2025-02-28T16:53:27Z,8,2,912,1074
307,2025-02-28T16:34:35Z,2025-02-28T16:54:38Z,9,4,3906,4532
307,2025-02-28T16:34:35Z,2025-02-28T16:55:51Z,10,1,392,486
307,2025-02-28T16:34:35Z,2025-02-28T16:57:04Z,11,2,912,1074
307,2025-02-28T16:34:35Z,2025-02-28T16:58:18Z,12,5,8408,9822
307,2025-02-28T16:34:35Z,2025-02-28T16:59:31Z,13,0,0,0
307,2025-02-28T16:34:35Z,2025-02-28T17:00:43Z,14,0,0,0
307,2025-02-28T16:34:35Z,2025-02-28T17:01:55Z,15,5,8408,9822
307,2025-02-28T16:34:35Z,2025-02-28T17:03:06Z,16,5,8408,9822
307,2025-02-28T16:34:35Z,2025-02-28T17:04:18Z,17,2,912,1074
307,2025-02-28T16:34:35Z,2025-02-28T17:05:30Z,18,0,0,0
307,2025-02-28T16:34:35Z,2025-02-28T17:06:43Z,19,1,392,486
307,2025-02-28T16:34:35Z,2025-02-28T17:07:55Z,20,5,8408,9822
307,2025-02-28T16:34:35Z,2025-02-28T17:09:07Z,21,4,3906,4532
307,2025-02-28T16:34:35Z,2025-02-28T17:10:18Z,22,3,1967,2420
307,2025-02-28T16:34:35Z,2025-02-28T17:11:29Z,23,0,0,0
307,2025-02-28T16:34:35Z,2025-02-28T17:12:43Z,24,4,3906,4532
307,2025-02-28T16:34:35Z,2025-02-28T17:13:56Z,25,2,912,1074
307,2025-02-28T16:34:35Z,2025-02-28T17:15:07Z,26,1,392,486
307,2025-02-28T16:34:35Z,2025-02-28T17:16:21Z,27,3,1967,2420
307,2025-02-28T16:34:35Z,2025-02-28T17:17:33Z,28,1,392,486
307,2025-02-28T16:34:35Z,2025-02-28T17:18:46Z,29,1,392,486
307,2025-02-28T16:34:35Z,2025-02-28T17:20:00Z,30,0,0,0
307,2025-02-28T16:34:35Z,2025-02-28T17:21:12Z,31,3,1967,2420
307,2025-02-28T16:34:35Z,2025-02-28T17:22:24Z,32,2,912,1074
307,2025-02-28T16:34:35Z,2025-02-28T17:23:38Z,33,2,912,1074
307,2025-02-28T16:34:35Z,2025-02-28T17:24:51Z,34,3,1967,2420
307,2025-02-28T16:34:35Z,2025-02-28T17:26:02Z,35,3,1967,2420
307,2025-02-28T16:34:35Z,2025-02-28T17:27:14Z,36,4,3906,4532
308,2025-03-07T09:24:22Z,2025-03-07T09:34:41Z,1,5,8408,9822
308,2025-03-07T09:24:22Z,2025-03-07T09:35:52Z,2,1,392,486
308,2025-03-07T09:24:22Z,2025-03-07T09:37:06Z,3,1,392,486
308,2025-03-07T09:24:22Z,2025-03-07T09:38:17Z,4,5,8408,9822
308,2025-03-07T09:24:22Z,2025-03-07T09:39:29Z,5,5,8408,9822
308,2025-03-07T09:24:22Z,2025-03-07T09:40:42Z,6,0,0,0
308,2025-03-07T09:24:22Z,2025-03-07T09:41:55Z,7,5,8408,9822
308,2025-03-07T09:24:22Z,2025-03-07T09:43:08Z,8,2,912,1074
308,2025-03-07T09:24:22Z,2025-03-07T09:44:22Z,9,5,8408,9822
308,2025-03-07T09:24:22Z,2025-03-07T09:45:34Z,10,3,1967,2420
308,2025-03-07T09:24:22Z,2025-03-07T09:46:48Z,11,2,912,1074
308,2025-03-07T09:24:22Z,2025-03-07T09:48:01Z,12,4,3906,4532
308,2025-03-07T09:24:22Z,2025-03-07T09:49:12Z,13,1,392,486
308,2025-03-07T09:24:22Z,2025-03-07T09:50:24Z,14,4,3906,4532
308,2025-03-07T09:24:22Z,2025-03-07T09:51:36Z,15,4,3906,4532
308,2025-03-07T09:24:22Z,2025-03-07T09:52:48Z,16,2,912,1074
308,2025-03-07T09:24:22Z,2025-03-07T09:54:00Z,17,2,912,1074
308,2025-03-07T09:24:22Z,2025-03-07T09:55:12Z,18,3,1967,2420
308,2025-03-07T09:24:22Z,2025-03-07T09:56:25Z,19,0,0,0
308,2025-03-07T09:24:22Z,2025-03-07T09:57:37Z,20,0,0,0
308,2025-03-07T09:24:22Z,2025-03-07T09:58:49Z,21,4,3906,4532
308,2025-03-07T09:24:22Z,2025-03-07T10:00:02Z,22,3,1967,2420
308,2025-03-07T09:24:22Z,2025-03-07T10:01:14Z,23,1,392,486
308,2025-03-07T09:24:22Z,2025-03-07T10:02:27Z,24,0,0,0
308,2025-03-07T09:24:22Z,2025-03-07T10:03:39Z,25,2,912,1074
308,2025-03-07T09:24:22Z,2025-03-07T10:04:51Z,26,0,0,0
308,2025-03-07T09:24:22Z,2025-03-07T10:06:03Z,27,1,392,486
308,2025-03-07T09:24:22Z,2025-03-07T10:07:15Z,28,2,912,1074
308,2025-03-07T09:24:22Z,2025-03-07T10:08:28Z,29,1,392,486
308,2025-03-07T09:24:22Z,2025-03-07T10:09:41Z,30,3,1967,2420
308,2025-03-07T09:24:22Z,2025-03-07T10:10:53Z,31,4,3906,4532
308,2025-03-07T09:24:22Z,2025-03-07T10:12:07Z,32,0,0,0
308,2025-03-07T09:24:22Z,2025-03-07T10:13:20Z,33,3,1967,2420
308,2025-03-07T09:24:22Z,2025-03-07T10:14:33Z,34,3,1967,2420
308,2025-03-07T09:24:22Z,2025-03-07T10:15:45Z,35,5,8408,9822
308,2025-03-07T09:24:22Z,2025-03-07T10:16:57Z,36,4,3906,4532
309,2025-03-11T14:39:26Z,2025-03-11T14:49:46Z,1,5,8408,9822
309,2025-03-11T14:39:26Z,2025-03-11T14:50:59Z,2,4,3906,4532
309,2025-03-11T14:39:26Z,2025-03-11T14:52:11Z,3,2,912,1074
309,2025-03-11T14:39:26Z,2025-03-11T14:53:24Z,4,4,3906,4532
309,2025-03-11T14:39:26Z,2025-03-11T14:54:37Z,5,1,392,486
309,2025-03-11T14:39:26Z,2025-03-11T14:55:48Z,6,3,1967,2420
309,2025-03-11T14:39:26Z,2025-03-11T14:57:00Z,7,2,912,1074
309,2025-03-11T14:39:26Z,2025-03-11T14:58:12Z,8,0,0,0
309,2025-03-11T14:39:26Z,2025-03-11T14:59:23Z,9,2,912,1074
309,2025-03-11T14:39:26Z,2025-03-11T15:00:36Z,10,3,1967,2420
309,2025-03-11T14:39:26Z,2025-03-11T15:01:47Z,11,3,1967,2420
309,2025-03-11T14:39:26Z,2025-03-11T15:02:59Z,12,5,8408,9822
309,2025-03-11T14:39:26Z,2025-03-11T15:04:11Z,13,5,8408,9822
309,2025-03-11T14:39:26Z,2025-03-11T15:05:24Z,14,0,0,0
309,2025-03-11T14:39:26Z,2025-03-11T15:06:36Z,15,1,392,486
309,2025-03-11T14:39:26Z,2025-03-11T15:07:48Z,16,4,3906,4532
309,2025-03-11T14:39:26Z,2025-03-11T15:09:01Z,17,3,1967,2420
309,2025-03-11T14:39:26Z,2025-03-11T15:10:13Z,18,1,392,486
309,2025-03-11T14:39:26Z,2025-03-11T15:11:26Z,19,1,392,486
309,2025-03-11T14:39:26Z,2025-03-11T15:12:40Z,20,5,8408,9822
309,2025-03-11T14:39:26Z,2025-03-11T15:13:53Z,21,2,912,1074
309,2025-03-11T14:39:26Z,2025-03-11T15:15:04Z,22,2,912,1074
309,2025-03-11T14:39:26Z,2025-03-11T15:16:18Z,23,1,392,486
309,2025-03-11T14:39:26Z,2025-03-11T15:17:30Z,24,2,912,1074
309,2025-03-11T14:39:26Z,2025-03-11T15:18:41Z,25,5,8408,9822
309,2025-03-11T14:39:26Z,2025-03-11T15:19:53Z,26,3,1967,2420
309,2025-03-11T14:39:26Z,2025-03-11T15:21:06Z,27,0,0,0
309,2025-03-11T14:39:26Z,2025-03-11T15:22:20Z,28,4,3906,4532
309,2025-03-11T14:39:26Z,2025-03-11T15:23:32Z,29,4,3906,4532
309,2025-03-11T14:39:26Z,2025-03-11T15:24:46Z,30,0,0,0
309,2025-03-11T14:39:26Z,2025-03-11T15:25:58Z,31,0,0,0
309,2025-03-11T14:39:26Z,2025-03-11T15:27:11Z,32,5,8408,9822
309,2025-03-11T14:39:26Z,2025-03-11T15:28:23Z,33,1,392,486
309,2025-03-11T14:39:26Z,2025-03-11T15:29:36Z,34,0,0,0
309,2025-03-11T14:39:26Z,2025-03-11T15:30:48Z,35,3,1967,2420
309,2025-03-11T14:39:26Z,2025-03-11T15:31:59Z,36,4,3906,4532
310,2025-03-18T16:58:46Z,2025-03-18T17:09:06Z,1,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:10:43Z,2,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:11:54Z,3,4,3906,4532
310,2025-03-18T16:58:46Z,2025-03-18T17:13:08Z,4,4,3906,4532
310,2025-03-18T16:58:46Z,2025-03-18T17:14:19Z,5,3,1967,2420
310,2025-03-18T16:58:46Z,2025-03-18T17:15:32Z,6,3,1967,2420
310,2025-03-18T16:58:46Z,2025-03-18T17:16:43Z,7,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:17:54Z,8,0,0,0
310,2025-03-18T16:58:46Z,2025-03-18T17:19:07Z,9,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:20:20Z,10,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:21:32Z,11,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:22:45Z,12,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:23:56Z,13,4,3906,4532
310,2025-03-18T16:58:46Z,2025-03-18T17:25:10Z,14,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:26:22Z,15,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:27:34Z,16,2,912,1074
310,2025-03-18T16:58:46Z,2025-03-18T17:28:48Z,17,0,0,0
310,2025-03-18T16:58:46Z,2025-03-18T17:30:01Z,18,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:31:14Z,19,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:32:28Z,20,0,0,0
310,2025-03-18T16:58:46Z,2025-03-18T17:33:40Z,21,3,1967,2420
310,2025-03-18T16:58:46Z,2025-03-18T17:34:54Z,22,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:36:08Z,23,3,1967,2420
310,2025-03-18T16:58:46Z,2025-03-18T17:37:21Z,24,4,3906,4532
310,2025-03-18T16:58:46Z,2025-03-18T17:38:35Z,25,1,392,486
310,2025-03-18T16:58:46Z,2025-03-18T17:39:47Z,26,5,8408,9822
310,2025-03-18T16:58:46Z,2025-03-18T17:40:59Z,27,3,1967,2420
